host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_score_mean,review_tier
within a few hours,True,True,Cortes,Private room in rental unit,Private room,1,2.0,1.0,3.0,101.0,1,730,1.0,730.0,21,51,81,21,1,0,4.95,4.95,4.95,4.9,5.0,4.9,4.941666666666666,Excelente (>4.8)
within a few hours,True,True,Sol,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1100.0,3,180,3.0,180.0,29,59,89,146,0,0,4.85,4.77,4.86,4.92,4.93,4.64,4.828333333333333,Excelente (>4.8)
within a day,True,True,Palacio,Entire rental unit,Entire home/apt,5,1.5,2.0,2.0,181.0,4,60,4.0,60.0,15,41,71,121,7,0,4.72,4.5,4.79,4.83,4.97,4.63,4.739999999999999,Alta (4.5–4.8]
within a few hours,True,True,Embajadores,Private room in rental unit,Private room,2,1.0,1.0,1.0,93.0,2,1125,2.0,1125.0,3,3,3,609,54,1,4.94,4.95,4.92,4.97,4.97,4.91,4.943333333333333,Excelente (>4.8)
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,127.0,2,330,2.1,1125.0,1,8,23,913,87,9,4.69,4.86,4.81,4.81,4.97,4.7,4.806666666666666,Excelente (>4.8)
within a few hours,True,True,Hispanoamérica,Private room in casa particular,Private room,1,1.0,1.0,1.0,38.0,7,90,5.8,90.0,0,0,0,100,4,1,4.85,4.86,4.9,4.91,4.79,4.76,4.845,Excelente (>4.8)
within a day,True,True,Cortes,Private room in rental unit,Private room,2,1.0,1.0,1.0,53.0,3,15,3.0,15.0,4,6,27,426,39,2,4.92,4.96,4.94,4.91,4.98,4.86,4.928333333333334,Excelente (>4.8)
within a few hours,True,True,Recoletos,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,117.0,1,365,49.7,999.0,1,18,48,46,9,0,4.72,4.85,4.76,4.72,4.98,4.67,4.783333333333334,Alta (4.5–4.8]
within a few hours,True,True,Palacio,Entire loft,Entire home/apt,2,1.0,1.0,1.0,243.0,3,360,3.7,360.0,6,30,60,85,5,0,4.95,4.89,4.95,4.99,4.99,4.78,4.925000000000001,Excelente (>4.8)
within a few hours,True,True,San Fermín,Private room in condo,Private room,2,1.0,1.0,1.0,48.0,5,100,5.0,100.0,3,4,26,105,18,0,4.94,4.96,4.94,4.94,4.62,4.86,4.876666666666667,Excelente (>4.8)
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,173.0,1,1125,1.4,1079.3,1,2,9,621,72,6,4.72,4.76,4.79,4.81,4.94,4.68,4.783333333333333,Alta (4.5–4.8]
within a few hours,True,True,Comillas,Private room in rental unit,Private room,1,2.0,1.0,1.0,21.0,2,1125,2.0,1125.0,0,0,0,19,0,0,4.84,4.53,4.84,4.84,4.79,4.58,4.736666666666667,Alta (4.5–4.8]
within a few hours,True,True,Palos de Moguer,Entire condo,Entire home/apt,3,1.0,1.0,1.0,99.0,3,65,3.0,65.0,0,6,33,116,26,0,4.77,4.83,4.85,4.9,4.87,4.78,4.833333333333334,Excelente (>4.8)
within an hour,True,True,Lucero,Private room in home,Private room,1,1.0,1.0,1.0,29.0,10,250,10.0,250.0,1,9,39,295,35,1,4.94,4.91,4.96,4.98,4.64,4.89,4.886666666666668,Excelente (>4.8)
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,11,2.0,5.0,5.0,406.0,2,730,1.3,1125.0,11,33,48,92,11,0,4.58,4.65,4.68,4.75,4.87,4.5,4.671666666666667,Alta (4.5–4.8]
within an hour,True,True,Pueblo Nuevo,Private room in rental unit,Private room,1,1.0,1.0,1.0,35.0,7,1125,7.0,1125.0,28,58,88,4,0,0,5.0,4.25,5.0,5.0,4.75,4.5,4.75,Alta (4.5–4.8]
within an hour,True,True,Pueblo Nuevo,Private room in rental unit,Private room,2,1.0,1.0,2.0,30.0,20,1125,19.4,1125.0,14,27,57,5,0,0,5.0,4.8,4.75,5.0,5.0,3.8,4.7250000000000005,Alta (4.5–4.8]
within a few hours,True,False,Sol,Entire rental unit,Entire home/apt,8,2.0,2.0,6.0,158.0,3,300,2.8,300.0,2,20,46,282,40,3,4.69,4.72,4.81,4.89,4.94,4.6,4.7749999999999995,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Entire loft,Entire home/apt,3,1.0,1.0,1.0,117.0,1,90,2.4,1125.0,1,11,13,441,50,4,4.75,4.71,4.88,4.88,4.9,4.7,4.803333333333333,Excelente (>4.8)
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,4,1.5,1.0,1.0,97.0,2,1125,2.0,1125.0,1,23,53,862,93,5,4.86,4.82,4.92,4.91,4.97,4.8,4.88,Excelente (>4.8)
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,147.0,3,1125,3.5,1125.0,7,14,17,120,13,1,4.7,4.6,4.83,4.84,4.89,4.77,4.7716666666666665,Alta (4.5–4.8]
within a day,True,True,Universidad,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,86.0,3,1125,3.0,1125.0,0,0,0,3,2,0,5.0,4.67,5.0,5.0,5.0,5.0,4.945,Excelente (>4.8)
within an hour,True,True,San Diego,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,52.0,30,360,30.0,1125.0,4,8,8,33,3,0,4.48,4.18,4.73,4.7,4.06,4.18,4.388333333333333,Media (4.0–4.5]
