id,name,host_id,host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1273171671821847610,Hogar acogedor en Hortaleza,14072404,within a few hours,True,True,Pinar del Rey,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$76.00,3,1125,3.0,1125.0,1,3,3,17,17,1,5.0,5.0,4.94,4.94,4.71,4.82
1273195442542533519,Amplio piso en prosperidad,518713670,within a day,True,True,Prosperidad,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,$99.00,30,365,30.0,365.0,1,31,61,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
1273259199283893132,"Cozy 3-Bedroom apartment, Madrid",656876244,within a few hours,False,True,Justicia,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,$140.00,32,334,32.0,334.0,30,60,90,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0
1273324128639473861,Preciosa casa con garaje center Mad,5432336,within an hour,True,True,Berruguete,Entire home,Entire home/apt,4,2.0,2.0,6.0,$118.00,3,365,3.0,365.0,0,0,21,7,7,1,4.71,4.43,3.57,3.86,4.86,4.29
1273356827831921206,An apartment in the downtown 2-1,35186383,within an hour,True,True,Cortes,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,$95.00,1,14,1.0,1125.0,3,18,38,56,56,4,4.57,4.48,4.61,4.3,4.82,4.39
1273362049969361653,Amplio ático con terraza,446760611,a few days or more,True,True,Pacífico,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,$120.00,4,365,4.0,365.0,28,58,88,6,6,2,4.17,3.83,4.17,4.33,4.33,4.0
1273382799208608246,An apartment in the downtown 3-2,35186383,within an hour,True,True,Sol,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$98.00,1,14,1.0,1125.0,4,12,27,68,68,2,4.82,4.82,4.71,4.51,4.75,4.68
1273686185789706776,Private Room in Central Madrid near Sol,263511603,within an hour,True,True,Sol,Private room in rental unit,Private room,1,1.0,1.0,1.0,$44.00,1,365,1.0,365.0,8,32,62,15,15,1,4.73,4.6,4.67,4.8,4.93,4.67
1273710602781195989,Habitación camas sencilla chueca,278326693,within an hour,True,True,Justicia,Private room in rental unit,Private room,2,2.0,1.0,2.0,$57.00,2,365,2.0,365.0,7,27,50,3,3,0,4.33,4.33,4.33,5.0,5.0,4.67
1273777723165100056,Chueca III,217067249,within an hour,True,True,Justicia,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,$87.00,30,1125,28.0,1125.0,1,2,3,4,4,0,5.0,4.5,4.0,4.0,4.25,4.0
1273861266667874213,Cozy room to spend the night,545818021,within an hour,True,True,Vista Alegre,Private room in rental unit,Private room,1,1.0,1.0,1.0,$32.00,1,365,1.0,365.0,27,57,84,20,20,0,4.9,4.85,4.8,5.0,4.9,4.65
1273863726505398229,PISO en AlMAGRO NEW! 2 Habitaciones TOP!,514245592,within a few hours,True,True,Trafalgar,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,$308.00,2,365,2.0,365.0,0,13,43,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0
1273998939653063908,Cerca del Santiago Bernabéu 15 minutos caminando,496527565,within an hour,True,True,Bellas Vistas,Private room in rental unit,Private room,2,1.0,1.0,1.0,$62.00,1,1125,1.0,1125.0,11,41,71,16,16,1,5.0,5.0,5.0,5.0,4.88,4.94
1274010164125961741,Palos de la Frontera - Atocha,220103569,within an hour,True,True,Palos de Moguer,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$100.00,4,90,4.0,90.0,3,19,36,34,34,1,4.82,4.97,4.74,4.91,4.85,4.74
1274123785416358278,Estudio moderno y nuevo muy cerca del centro,331982718,within a few hours,True,True,Comillas,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,$57.00,30,365,30.0,365.0,0,17,47,6,6,0,4.67,5.0,4.67,4.83,4.5,4.5
1274221414760627688,Zue room 1,140737354,within an hour,True,True,Chopera,Private room in rental unit,Private room,1,1.0,1.0,1.0,$25.00,1,365,1.0,365.0,8,9,22,41,41,1,4.78,4.73,4.76,4.85,4.93,4.76
1274424230174718539,habitación céntrica y acogedora,155090672,within an hour,True,True,San Isidro,Shared room in home,Shared room,1,2.0,1.0,1.0,$29.00,3,15,3.0,15.0,20,50,80,4,4,0,3.5,3.75,3.25,3.25,3.5,3.25
1274471237753757919,Renovated & Modern -4 bedrooms 2baths-Salamanca,434200137,within an hour,True,True,Goya,Entire rental unit,Entire home/apt,6,2.0,4.0,4.0,$289.00,1,365,6.5,365.0,1,13,17,35,35,1,4.91,4.91,4.83,4.91,4.86,4.83
1274492407186254748,Stylish & Central -4bedrooms 2bathrooms-Salamanca,434200137,within an hour,True,True,Goya,Entire rental unit,Entire home/apt,8,2.0,4.0,5.0,$285.00,1,365,6.6,365.0,1,18,33,19,19,0,4.63,4.58,4.63,4.89,4.79,4.58
1274611780004157535,Rumi - 2 bedrooms in Goya,346367515,within an hour,True,True,Goya,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,$118.00,31,330,31.0,330.0,0,0,0,1,1,0,2.0,1.0,1.0,1.0,4.0,1.0
1274969653911829269,Estudio acogedor en Madrid-Barajas,153536793,within an hour,True,True,Casco Histórico de Barajas,Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,$78.00,2,90,2.0,90.0,0,13,43,8,8,0,4.63,4.5,4.88,5.0,4.88,4.75
1275179152760991828,Renato’s Apartment,515140619,within an hour,True,True,Casco Histórico de Vallecas,Private room in rental unit,Private room,4,0.5,1.0,2.0,$35.00,1,365,1.0,365.0,6,31,60,47,47,4,4.6,4.6,4.85,4.83,4.55,4.57
1275190100868203845,Apt recién reformado en Gran Vía con vistas,305260999,within an hour,True,True,Palacio,Entire serviced apartment,Entire home/apt,7,2.0,3.0,5.0,$219.00,1,1125,1.1,932.8,2,21,47,25,25,3,4.71,4.88,4.75,4.79,4.88,4.67
1275203626869098035,Apartamento lujo Castellana Bernabéu,576538050,within a day,True,True,Cuatro Caminos,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$198.00,3,365,3.0,365.0,0,0,0,11,11,0,4.82,5.0,5.0,5.0,5.0,4.73
1275435390114682083,Habitación en vivienda familiar,336778504,within an hour,True,True,Aguilas,Private room in rental unit,Private room,2,1.0,1.0,1.0,$100.00,1,4,1.0,4.0,30,60,90,5,5,0,4.2,4.6,4.6,4.6,4.4,4.2
1275513869322067552,Habitación individual,658967114,within an hour,True,True,Arapiles,Private room in rental unit,Private room,1,0.5,1.0,1.0,$52.00,1,365,1.0,365.0,17,46,75,37,37,2,4.69,4.44,4.89,4.94,4.92,4.69
